"csv_line"
"id,nom"
"""18"",""Pharmacie"""
"""273"",""Pharmacie vétérinaire"""
"""183"",""Philosophie"""
"""184"",""Physique"""
"""200"",""Physique appliquée"""
"""152"",""Physique-Chimie"""
"""260"",""Politique agricole"""
"""221"",""Politiques publiques et planification du développement"""
"""199"",""Production animale"""
"""248"",""Production touristique et management culturel"""
"""172"",""Professeur d'Anglais"""
"""175"",""Professeur d'Éducation Physique et Sportive"""
"""173"",""Professeur d'Espagnol"""
"""170"",""Professeur de Français"""
"""171"",""Professeur de Géographie"""
"""167"",""Professeur de Mathématiques"""
"""174"",""Professeur de Philosophie"""
"""168"",""Professeur de Physique-Chimie"""
"""169"",""Professeur de Sciences de la Vie et de la Terre"""
"""254"",""Protection des cultures et phytiatrie"""
"""32"",""Psychologie"""
"""274"",""Qualité des aliments de l'homme"""
"""72"",""Qualité, Hygiène, Sécurité et Environnement (QHSE)"""
"""137"",""Réseaux et Systèmes de Sécurité"""
"""10"",""Réseaux et Télécommunications"""
"""107"",""Réseaux Informatiques"""
"""247"",""Restauration et gastronomie"""
"""237"",""Robotique"""
"""21"",""Sage-femme"""
"""227"",""Santé communautaire"""
"""23"",""Santé publique"""
"""230"",""Santé-Environnement"""
"""146"",""Sciences agroalimentaires"""
"""151"",""Sciences de gestion"""
"""239"",""Sciences de l'éducation"""
"""148"",""Sciences de l'Information et de la Communication"""
"""186"",""Sciences de la Vie et de la Terre"""
"""179"",""Sciences économiques"""
"""142"",""Sciences et Technologies"""
"""242"",""Sciences halieutiques"""
"""20"",""Sciences infirmières"""
"""234"",""Sciences Informatiques et Mathématiques de la Cybersécurité (SIMAC)"""
"""145"",""Sciences juridiques"""
"""226"",""Sciences paramédicales"""
"""101"",""Sciences Politiques"""
"""125"",""Sciences Politiques et Relations Internationales"""
"""192"",""Socio-anthropologie"""
"""155"",""Sociologie"""
"""126"",""Sociologie des Organisations"""
"""261"",""Sociologie des organisations rurales"""
"""197"",""STAPS"""
"""17"",""Statistique et Informatique Décisionnelle"""
"""124"",""Stratégie de l’Entreprise"""
"""16"",""Systèmes d’Information"""
"""141"",""Systèmes économiques et de gestion"""
"""28"",""Systèmes Embarqués"""
"""14"",""Systèmes et Réseaux"""
"""165"",""Systèmes et Technologies de l'Information"""
"""215"",""Technologies de l'eau et de l'environnement"""
"""162"",""Télécommunications"""
"""219"",""Thermodynamique"""
"""93"",""Tourisme, Hôtellerie et Langues"""
"""243"",""Transformation des agroressources"""
"""78"",""Transport logistique"""
"""177"",""Travaux Publics"""
"""123"",""Vente et Relation Client"""
